Parameters,RMSE,MSE
temperature_2m (°C),2.7700981190860285,9.588824566975092
relative_humidity_2m (%),19.26122503251465,469.4763639404985
surface_pressure (hPa),7.506309223530263,80.75016698115148
wind_speed_10m (m/s),2.7541805061210747,10.436161779270833
wind_speed_100m (m/s),4.067368560744524,21.066659445753395
shortwave_radiation_instant (W/m²),46.705951330474534,2785.660272738176
diffuse_radiation_instant (W/m²),27.520302554079752,951.3296793946691
direct_normal_irradiance_instant (W/m²),186.49610452293678,41716.94618375198
