Parameters,RMSE,MSE
temperature_2m (°C),4.555768909872424,20.76619685062984
relative_humidity_2m (%),17.99834670489463,323.9424353088731
surface_pressure (hPa),8.707670121537909,75.86790753254738
wind_speed_10m (m/s),2.920646649539508,8.531721483651477
wind_speed_100m (m/s),4.447935552330555,19.78885076731595
shortwave_radiation_instant (W/m²),103.25255449219591,10676.929951673013
diffuse_radiation_instant (W/m²),68.17987464480622,4648.50381997265
direct_normal_irradiance_instant (W/m²),194.2927280395093,37755.38612741843
