Parameter,RMSE,MSE
temperature_2m (°C),4.596085416348018,21.12400115436693
relative_humidity_2m (%),19.43102674086471,377.56480020419934
surface_pressure (hPa),9.704030640141891,94.16821066481263
wind_speed_10m (m/s),2.9573648860520327,8.746007069253553
wind_speed_100m (m/s),4.423928110468087,19.571139926589737
shortwave_radiation_instant (W/m²),96.17379603347206,9249.399043487887
diffuse_radiation_instant (W/m²),75.63514812254591,5720.67563151946
direct_normal_irradiance_instant (W/m²),184.93856298245356,34202.27207801494
